Name,Type,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total Stats,Legendary,Mythical
Wigglytuff,"['normal', 'fairy']",140,70,45,85,50,45,435,False,False
Zubat,"['poison', 'flying']",40,45,35,30,40,55,245,False,False
Golbat,"['poison', 'flying']",75,80,70,65,75,90,455,False,False
Oddish,"['grass', 'poison']",45,50,55,75,65,30,320,False,False
Gloom,"['grass', 'poison']",60,65,70,85,75,40,395,False,False
Vileplume,"['grass', 'poison']",75,80,85,110,90,50,490,False,False
Paras,"['bug', 'grass']",35,70,55,45,55,25,285,False,False
Parasect,"['bug', 'grass']",60,95,80,60,80,30,405,False,False
Venonat,"['bug', 'poison']",60,55,50,40,55,45,305,False,False
Venomoth,"['bug', 'poison']",70,65,60,90,75,90,450,False,False
Diglett,['ground'],10,55,25,35,45,95,265,False,False
Dugtrio,['ground'],35,100,50,50,70,120,425,False,False
Meowth,['normal'],40,45,35,40,40,90,290,False,False
Persian,['normal'],65,70,60,65,65,115,440,False,False
Psyduck,['water'],50,52,48,65,50,55,320,False,False
Golduck,['water'],80,82,78,95,80,85,500,False,False
Mankey,['fighting'],40,80,35,35,45,70,305,False,False
Primeape,['fighting'],65,105,60,60,70,95,455,False,False
Growlithe,['fire'],55,70,45,70,50,60,350,False,False
Arcanine,['fire'],90,110,80,100,80,95,555,False,False
Poliwag,['water'],40,50,40,40,40,90,300,False,False
Poliwhirl,['water'],65,65,65,50,50,90,385,False,False
Poliwrath,"['water', 'fighting']",90,95,95,70,90,70,510,False,False
Abra,['psychic'],25,20,15,105,55,90,310,False,False
Kadabra,['psychic'],40,35,30,120,70,105,400,False,False
Alakazam,['psychic'],55,50,45,135,95,120,500,False,False
Machop,['fighting'],70,80,50,35,35,35,305,False,False
Machoke,['fighting'],80,100,70,50,60,45,405,False,False
Machamp,['fighting'],90,130,80,65,85,55,505,False,False
Bellsprout,"['grass', 'poison']",50,75,35,70,30,40,300,False,False
Weepinbell,"['grass', 'poison']",65,90,50,85,45,55,390,False,False
Victreebel,"['grass', 'poison']",80,105,65,100,70,70,490,False,False
Tentacool,"['water', 'poison']",40,40,35,50,100,70,335,False,False
Tentacruel,"['water', 'poison']",80,70,65,80,120,100,515,False,False
Geodude,"['rock', 'ground']",40,80,100,30,30,20,300,False,False
Graveler,"['rock', 'ground']",55,95,115,45,45,35,390,False,False
Golem,"['rock', 'ground']",80,120,130,55,65,45,495,False,False
Ponyta,['fire'],50,85,55,65,65,90,410,False,False
Rapidash,['fire'],65,100,70,80,80,105,500,False,False
Slowpoke,"['water', 'psychic']",90,65,65,40,40,15,315,False,False
Slowbro,"['water', 'psychic']",95,75,110,100,80,30,490,False,False
Magnemite,"['electric', 'steel']",25,35,70,95,55,45,325,False,False
Magneton,"['electric', 'steel']",50,60,95,120,70,70,465,False,False
Farfetchd,"['normal', 'flying']",52,90,55,58,62,60,377,False,False
Doduo,"['normal', 'flying']",35,85,45,35,35,75,310,False,False
Dodrio,"['normal', 'flying']",60,110,70,60,60,110,470,False,False
Seel,['water'],65,45,55,45,70,45,325,False,False
Dewgong,"['water', 'ice']",90,70,80,70,95,70,475,False,False
Grimer,['poison'],80,80,50,40,50,25,325,False,False
Muk,['poison'],105,105,75,65,100,50,500,False,False
Shellder,['water'],30,65,100,45,25,40,305,False,False
Cloyster,"['water', 'ice']",50,95,180,85,45,70,525,False,False
Gastly,"['ghost', 'poison']",30,35,30,100,35,80,310,False,False
Haunter,"['ghost', 'poison']",45,50,45,115,55,95,405,False,False
Gengar,"['ghost', 'poison']",60,65,60,130,75,110,500,False,False
Onix,"['rock', 'ground']",35,45,160,30,45,70,385,False,False
Drowzee,['psychic'],60,48,45,43,90,42,328,False,False
Hypno,['psychic'],85,73,70,73,115,67,483,False,False
Krabby,['water'],30,105,90,25,25,50,325,False,False
Kingler,['water'],55,130,115,50,50,75,475,False,False
Voltorb,['electric'],40,30,50,55,55,100,330,False,False
Electrode,['electric'],60,50,70,80,80,150,490,False,False
Exeggcute,"['grass', 'psychic']",60,40,80,60,45,40,325,False,False
Exeggutor,"['grass', 'psychic']",95,95,85,125,75,55,530,False,False
Cubone,['ground'],50,50,95,40,50,35,320,False,False
Marowak,['ground'],60,80,110,50,80,45,425,False,False
Hitmonlee,['fighting'],50,120,53,35,110,87,455,False,False
Hitmonchan,['fighting'],50,105,79,35,110,76,455,False,False
Lickitung,['normal'],90,55,75,60,75,30,385,False,False
Koffing,['poison'],40,65,95,60,45,35,340,False,False
Weezing,['poison'],65,90,120,85,70,60,490,False,False
Rhyhorn,"['ground', 'rock']",80,85,95,30,30,25,345,False,False
Rhydon,"['ground', 'rock']",105,130,120,45,45,40,485,False,False
Chansey,['normal'],250,5,5,35,105,50,450,False,False
Tangela,['grass'],65,55,115,100,40,60,435,False,False
Kangaskhan,['normal'],105,95,80,40,80,90,490,False,False
Horsea,['water'],30,40,70,70,25,60,295,False,False
Seadra,['water'],55,65,95,95,45,85,440,False,False
Goldeen,['water'],45,67,60,35,50,63,320,False,False
Seaking,['water'],80,92,65,65,80,68,450,False,False
Staryu,['water'],30,45,55,70,55,85,340,False,False
Starmie,"['water', 'psychic']",60,75,85,100,85,115,520,False,False
Mr-mime,"['psychic', 'fairy']",40,45,65,100,120,90,460,False,False
Scyther,"['bug', 'flying']",70,110,80,55,80,105,500,False,False
Jynx,"['ice', 'psychic']",65,50,35,115,95,95,455,False,False
Electabuzz,['electric'],65,83,57,95,85,105,490,False,False
Magmar,['fire'],65,95,57,100,85,93,495,False,False
Pinsir,['bug'],65,125,100,55,70,85,500,False,False
Tauros,['normal'],75,100,95,40,70,110,490,False,False
Magikarp,['water'],20,10,55,15,20,80,200,False,False
Gyarados,"['water', 'flying']",95,125,79,60,100,81,540,False,False
Lapras,"['water', 'ice']",130,85,80,85,95,60,535,False,False
Ditto,['normal'],48,48,48,48,48,48,288,False,False
Eevee,['normal'],55,55,50,45,65,55,325,False,False
Vaporeon,['water'],130,65,60,110,95,65,525,False,False
Jolteon,['electric'],65,65,60,110,95,130,525,False,False
Flareon,['fire'],65,130,60,95,110,65,525,False,False
Porygon,['normal'],65,60,70,85,75,40,395,False,False
Omanyte,"['rock', 'water']",35,40,100,90,55,35,355,False,False
Omastar,"['rock', 'water']",70,60,125,115,70,55,495,False,False
Kabuto,"['rock', 'water']",30,80,90,55,45,55,355,False,False
Kabutops,"['rock', 'water']",60,115,105,65,70,80,495,False,False
Aerodactyl,"['rock', 'flying']",80,105,65,60,75,130,515,False,False
Snorlax,['normal'],160,110,65,65,110,30,540,False,False
Dratini,['dragon'],41,64,45,50,50,50,300,False,False
Dragonair,['dragon'],61,84,65,70,70,70,420,False,False
Dragonite,"['dragon', 'flying']",91,134,95,100,100,80,600,False,False
Chikorita,['grass'],45,49,65,49,65,45,318,False,False
Bayleef,['grass'],60,62,80,63,80,60,405,False,False
Meganium,['grass'],80,82,100,83,100,80,525,False,False
Cyndaquil,['fire'],39,52,43,60,50,65,309,False,False
Quilava,['fire'],58,64,58,80,65,80,405,False,False
Typhlosion,['fire'],78,84,78,109,85,100,534,False,False
Totodile,['water'],50,65,64,44,48,43,314,False,False
Croconaw,['water'],65,80,80,59,63,58,405,False,False
Feraligatr,['water'],85,105,100,79,83,78,530,False,False
Sentret,['normal'],35,46,34,35,45,20,215,False,False
Furret,['normal'],85,76,64,45,55,90,415,False,False
Hoothoot,"['normal', 'flying']",60,30,30,36,56,50,262,False,False
Noctowl,"['normal', 'flying']",100,50,50,86,96,70,452,False,False
Ledyba,"['bug', 'flying']",40,20,30,40,80,55,265,False,False
Ledian,"['bug', 'flying']",55,35,50,55,110,85,390,False,False
Spinarak,"['bug', 'poison']",40,60,40,40,40,30,250,False,False
Ariados,"['bug', 'poison']",70,90,70,60,70,40,400,False,False
Crobat,"['poison', 'flying']",85,90,80,70,80,130,535,False,False
Chinchou,"['water', 'electric']",75,38,38,56,56,67,330,False,False
Lanturn,"['water', 'electric']",125,58,58,76,76,67,460,False,False
Pichu,['electric'],20,40,15,35,35,60,205,False,False
Cleffa,['fairy'],50,25,28,45,55,15,218,False,False
Igglybuff,"['normal', 'fairy']",90,30,15,40,20,15,210,False,False
Togepi,['fairy'],35,20,65,40,65,20,245,False,False
Togetic,"['fairy', 'flying']",55,40,85,80,105,40,405,False,False
Natu,"['psychic', 'flying']",40,50,45,70,45,70,320,False,False
Xatu,"['psychic', 'flying']",65,75,70,95,70,95,470,False,False
Mareep,['electric'],55,40,40,65,45,35,280,False,False
Flaaffy,['electric'],70,55,55,80,60,45,365,False,False
Ampharos,['electric'],90,75,85,115,90,55,510,False,False
Bellossom,['grass'],75,80,95,90,100,50,490,False,False
Marill,"['water', 'fairy']",70,20,50,20,50,40,250,False,False
Azumarill,"['water', 'fairy']",100,50,80,60,80,50,420,False,False
Sudowoodo,['rock'],70,100,115,30,65,30,410,False,False
Politoed,['water'],90,75,75,90,100,70,500,False,False
Hoppip,"['grass', 'flying']",35,35,40,35,55,50,250,False,False
Skiploom,"['grass', 'flying']",55,45,50,45,65,80,340,False,False
Jumpluff,"['grass', 'flying']",75,55,70,55,95,110,460,False,False
Aipom,['normal'],55,70,55,40,55,85,360,False,False
Sunkern,['grass'],30,30,30,30,30,30,180,False,False
Sunflora,['grass'],75,75,55,105,85,30,425,False,False
Yanma,"['bug', 'flying']",65,65,45,75,45,95,390,False,False
Wooper,"['water', 'ground']",55,45,45,25,25,15,210,False,False
Quagsire,"['water', 'ground']",95,85,85,65,65,35,430,False,False
Espeon,['psychic'],65,65,60,130,95,110,525,False,False
Umbreon,['dark'],95,65,110,60,130,65,525,False,False
Murkrow,"['dark', 'flying']",60,85,42,85,42,91,405,False,False
Slowking,"['water', 'psychic']",95,75,80,100,110,30,490,False,False
Misdreavus,['ghost'],60,60,60,85,85,85,435,False,False
Unown,['psychic'],48,72,48,72,48,48,336,False,False
Wobbuffet,['psychic'],190,33,58,33,58,33,405,False,False
Girafarig,"['normal', 'psychic']",70,80,65,90,65,85,455,False,False
Pineco,['bug'],50,65,90,35,35,15,290,False,False
Forretress,"['bug', 'steel']",75,90,140,60,60,40,465,False,False
Dunsparce,['normal'],100,70,70,65,65,45,415,False,False
Gligar,"['ground', 'flying']",65,75,105,35,65,85,430,False,False
Steelix,"['steel', 'ground']",75,85,200,55,65,30,510,False,False
Snubbull,['fairy'],60,80,50,40,40,30,300,False,False
Granbull,['fairy'],90,120,75,60,60,45,450,False,False
Qwilfish,"['water', 'poison']",65,95,85,55,55,85,440,False,False
Scizor,"['bug', 'steel']",70,130,100,55,80,65,500,False,False
Shuckle,"['bug', 'rock']",20,10,230,10,230,5,505,False,False
Heracross,"['bug', 'fighting']",80,125,75,40,95,85,500,False,False
Sneasel,"['dark', 'ice']",55,95,55,35,75,115,430,False,False
Teddiursa,['normal'],60,80,50,50,50,40,330,False,False
Ursaring,['normal'],90,130,75,75,75,55,500,False,False
Slugma,['fire'],40,40,40,70,40,20,250,False,False
Magcargo,"['fire', 'rock']",60,50,120,90,80,30,430,False,False
Swinub,"['ice', 'ground']",50,50,40,30,30,50,250,False,False
Piloswine,"['ice', 'ground']",100,100,80,60,60,50,450,False,False
Corsola,"['water', 'rock']",65,55,95,65,95,35,410,False,False
Remoraid,['water'],35,65,35,65,35,65,300,False,False
Octillery,['water'],75,105,75,105,75,45,480,False,False
Delibird,"['ice', 'flying']",45,55,45,65,45,75,330,False,False
Mantine,"['water', 'flying']",85,40,70,80,140,70,485,False,False
Skarmory,"['steel', 'flying']",65,80,140,40,70,70,465,False,False
Houndour,"['dark', 'fire']",45,60,30,80,50,65,330,False,False
Houndoom,"['dark', 'fire']",75,90,50,110,80,95,500,False,False
Kingdra,"['water', 'dragon']",75,95,95,95,95,85,540,False,False
Phanpy,['ground'],90,60,60,40,40,40,330,False,False
Donphan,['ground'],90,120,120,60,60,50,500,False,False
Porygon2,['normal'],85,80,90,105,95,60,515,False,False
Stantler,['normal'],73,95,62,85,65,85,465,False,False
Smeargle,['normal'],55,20,35,20,45,75,250,False,False
Tyrogue,['fighting'],35,35,35,35,35,35,210,False,False
Hitmontop,['fighting'],50,95,95,35,110,70,455,False,False
Smoochum,"['ice', 'psychic']",45,30,15,85,65,65,305,False,False
Elekid,['electric'],45,63,37,65,55,95,360,False,False
Magby,['fire'],45,75,37,70,55,83,365,False,False
Miltank,['normal'],95,80,105,40,70,100,490,False,False
Blissey,['normal'],255,10,10,75,135,55,540,False,False
Larvitar,"['rock', 'ground']",50,64,50,45,50,41,300,False,False
Pupitar,"['rock', 'ground']",70,84,70,65,70,51,410,False,False
Tyranitar,"['rock', 'dark']",100,134,110,95,100,61,600,False,False
Treecko,['grass'],40,45,35,65,55,70,310,False,False
Grovyle,['grass'],50,65,45,85,65,95,405,False,False
Sceptile,['grass'],70,85,65,105,85,120,530,False,False
Torchic,['fire'],45,60,40,70,50,45,310,False,False
Combusken,"['fire', 'fighting']",60,85,60,85,60,55,405,False,False
Blaziken,"['fire', 'fighting']",80,120,70,110,70,80,530,False,False
Mudkip,['water'],50,70,50,50,50,40,310,False,False
Marshtomp,"['water', 'ground']",70,85,70,60,70,50,405,False,False
Swampert,"['water', 'ground']",100,110,90,85,90,60,535,False,False
Poochyena,['dark'],35,55,35,30,30,35,220,False,False
Mightyena,['dark'],70,90,70,60,60,70,420,False,False
Zigzagoon,['normal'],38,30,41,30,41,60,240,False,False
Linoone,['normal'],78,70,61,50,61,100,420,False,False
Wurmple,['bug'],45,45,35,20,30,20,195,False,False
Silcoon,['bug'],50,35,55,25,25,15,205,False,False
Beautifly,"['bug', 'flying']",60,70,50,100,50,65,395,False,False
Cascoon,['bug'],50,35,55,25,25,15,205,False,False
Dustox,"['bug', 'poison']",60,50,70,50,90,65,385,False,False
Lotad,"['water', 'grass']",40,30,30,40,50,30,220,False,False
Lombre,"['water', 'grass']",60,50,50,60,70,50,340,False,False
Ludicolo,"['water', 'grass']",80,70,70,90,100,70,480,False,False
Seedot,['grass'],40,40,50,30,30,30,220,False,False
Nuzleaf,"['grass', 'dark']",70,70,40,60,40,60,340,False,False
Shiftry,"['grass', 'dark']",90,100,60,90,60,80,480,False,False
Taillow,"['normal', 'flying']",40,55,30,30,30,85,270,False,False
Swellow,"['normal', 'flying']",60,85,60,75,50,125,455,False,False
Wingull,"['water', 'flying']",40,30,30,55,30,85,270,False,False
Pelipper,"['water', 'flying']",60,50,100,95,70,65,440,False,False
Ralts,"['psychic', 'fairy']",28,25,25,45,35,40,198,False,False
Kirlia,"['psychic', 'fairy']",38,35,35,65,55,50,278,False,False
Gardevoir,"['psychic', 'fairy']",68,65,65,125,115,80,518,False,False
Surskit,"['bug', 'water']",40,30,32,50,52,65,269,False,False
Masquerain,"['bug', 'flying']",70,60,62,100,82,80,454,False,False
Shroomish,['grass'],60,40,60,40,60,35,295,False,False
Breloom,"['grass', 'fighting']",60,130,80,60,60,70,460,False,False
Slakoth,['normal'],60,60,60,35,35,30,280,False,False
Vigoroth,['normal'],80,80,80,55,55,90,440,False,False
Slaking,['normal'],150,160,100,95,65,100,670,False,False
Nincada,"['bug', 'ground']",31,45,90,30,30,40,266,False,False
Ninjask,"['bug', 'flying']",61,90,45,50,50,160,456,False,False
Shedinja,"['bug', 'ghost']",1,90,45,30,30,40,236,False,False
Whismur,['normal'],64,51,23,51,23,28,240,False,False
Loudred,['normal'],84,71,43,71,43,48,360,False,False
Exploud,['normal'],104,91,63,91,73,68,490,False,False
Makuhita,['fighting'],72,60,30,20,30,25,237,False,False
Hariyama,['fighting'],144,120,60,40,60,50,474,False,False
Azurill,"['normal', 'fairy']",50,20,40,20,40,20,190,False,False
Nosepass,['rock'],30,45,135,45,90,30,375,False,False
Skitty,['normal'],50,45,45,35,35,50,260,False,False
Delcatty,['normal'],70,65,65,55,55,90,400,False,False
Sableye,"['dark', 'ghost']",50,75,75,65,65,50,380,False,False
Mawile,"['steel', 'fairy']",50,85,85,55,55,50,380,False,False
Aron,"['steel', 'rock']",50,70,100,40,40,30,330,False,False
Lairon,"['steel', 'rock']",60,90,140,50,50,40,430,False,False
Aggron,"['steel', 'rock']",70,110,180,60,60,50,530,False,False
Meditite,"['fighting', 'psychic']",30,40,55,40,55,60,280,False,False
Medicham,"['fighting', 'psychic']",60,60,75,60,75,80,410,False,False
Electrike,['electric'],40,45,40,65,40,65,295,False,False
Manectric,['electric'],70,75,60,105,60,105,475,False,False
Plusle,['electric'],60,50,40,85,75,95,405,False,False
Minun,['electric'],60,40,50,75,85,95,405,False,False
Volbeat,['bug'],65,73,75,47,85,85,430,False,False
Illumise,['bug'],65,47,75,73,85,85,430,False,False
Roselia,"['grass', 'poison']",50,60,45,100,80,65,400,False,False
Gulpin,['poison'],70,43,53,43,53,40,302,False,False
Swalot,['poison'],100,73,83,73,83,55,467,False,False
Carvanha,"['water', 'dark']",45,90,20,65,20,65,305,False,False
Sharpedo,"['water', 'dark']",70,120,40,95,40,95,460,False,False
Wailmer,['water'],130,70,35,70,35,60,400,False,False
Wailord,['water'],170,90,45,90,45,60,500,False,False
Numel,"['fire', 'ground']",60,60,40,65,45,35,305,False,False
Camerupt,"['fire', 'ground']",70,100,70,105,75,40,460,False,False
Torkoal,['fire'],70,85,140,85,70,20,470,False,False
Spoink,['psychic'],60,25,35,70,80,60,330,False,False
Grumpig,['psychic'],80,45,65,90,110,80,470,False,False
Spinda,['normal'],60,60,60,60,60,60,360,False,False
Trapinch,['ground'],45,100,45,45,45,10,290,False,False
Vibrava,"['ground', 'dragon']",50,70,50,50,50,70,340,False,False
Flygon,"['ground', 'dragon']",80,100,80,80,80,100,520,False,False
Cacnea,['grass'],50,85,40,85,40,35,335,False,False
Cacturne,"['grass', 'dark']",70,115,60,115,60,55,475,False,False
Swablu,"['normal', 'flying']",45,40,60,40,75,50,310,False,False
Altaria,"['dragon', 'flying']",75,70,90,70,105,80,490,False,False
Zangoose,['normal'],73,115,60,60,60,90,458,False,False
Seviper,['poison'],73,100,60,100,60,65,458,False,False
Lunatone,"['rock', 'psychic']",90,55,65,95,85,70,460,False,False
Solrock,"['rock', 'psychic']",90,95,85,55,65,70,460,False,False
Barboach,"['water', 'ground']",50,48,43,46,41,60,288,False,False
Whiscash,"['water', 'ground']",110,78,73,76,71,60,468,False,False
Corphish,['water'],43,80,65,50,35,35,308,False,False
Crawdaunt,"['water', 'dark']",63,120,85,90,55,55,468,False,False
Baltoy,"['ground', 'psychic']",40,40,55,40,70,55,300,False,False
Claydol,"['ground', 'psychic']",60,70,105,70,120,75,500,False,False
Lileep,"['rock', 'grass']",66,41,77,61,87,23,355,False,False
Cradily,"['rock', 'grass']",86,81,97,81,107,43,495,False,False
Anorith,"['rock', 'bug']",45,95,50,40,50,75,355,False,False
Armaldo,"['rock', 'bug']",75,125,100,70,80,45,495,False,False
Feebas,['water'],20,15,20,10,55,80,200,False,False
Milotic,['water'],95,60,79,100,125,81,540,False,False
Castform,['normal'],70,70,70,70,70,70,420,False,False
Kecleon,['normal'],60,90,70,60,120,40,440,False,False
Shuppet,['ghost'],44,75,35,63,33,45,295,False,False
Banette,['ghost'],64,115,65,83,63,65,455,False,False
Duskull,['ghost'],20,40,90,30,90,25,295,False,False
Dusclops,['ghost'],40,70,130,60,130,25,455,False,False
Tropius,"['grass', 'flying']",99,68,83,72,87,51,460,False,False
Chimecho,['psychic'],75,50,80,95,90,65,455,False,False
Absol,['dark'],65,130,60,75,60,75,465,False,False
Wynaut,['psychic'],95,23,48,23,48,23,260,False,False
Snorunt,['ice'],50,50,50,50,50,50,300,False,False
Glalie,['ice'],80,80,80,80,80,80,480,False,False
Spheal,"['ice', 'water']",70,40,50,55,50,25,290,False,False
Sealeo,"['ice', 'water']",90,60,70,75,70,45,410,False,False
Walrein,"['ice', 'water']",110,80,90,95,90,65,530,False,False
Clamperl,['water'],35,64,85,74,55,32,345,False,False
Huntail,['water'],55,104,105,94,75,52,485,False,False
Gorebyss,['water'],55,84,105,114,75,52,485,False,False
Relicanth,"['water', 'rock']",100,90,130,45,65,55,485,False,False
Luvdisc,['water'],43,30,55,40,65,97,330,False,False
Bagon,['dragon'],45,75,60,40,30,50,300,False,False
Shelgon,['dragon'],65,95,100,60,50,50,420,False,False
Salamence,"['dragon', 'flying']",95,135,80,110,80,100,600,False,False
Beldum,"['steel', 'psychic']",40,55,80,35,60,30,300,False,False
Metang,"['steel', 'psychic']",60,75,100,55,80,50,420,False,False
Metagross,"['steel', 'psychic']",80,135,130,95,90,70,600,False,False
Turtwig,['grass'],55,68,64,45,55,31,318,False,False
Grotle,['grass'],75,89,85,55,65,36,405,False,False
Torterra,"['grass', 'ground']",95,109,105,75,85,56,525,False,False
Chimchar,['fire'],44,58,44,58,44,61,309,False,False
Monferno,"['fire', 'fighting']",64,78,52,78,52,81,405,False,False
Infernape,"['fire', 'fighting']",76,104,71,104,71,108,534,False,False
Piplup,['water'],53,51,53,61,56,40,314,False,False
Prinplup,['water'],64,66,68,81,76,50,405,False,False
Empoleon,"['water', 'steel']",84,86,88,111,101,60,530,False,False
Starly,"['normal', 'flying']",40,55,30,30,30,60,245,False,False
Staravia,"['normal', 'flying']",55,75,50,40,40,80,340,False,False
Staraptor,"['normal', 'flying']",85,120,70,50,60,100,485,False,False
Bidoof,['normal'],59,45,40,35,40,31,250,False,False
Bibarel,"['normal', 'water']",79,85,60,55,60,71,410,False,False
Kricketot,['bug'],37,25,41,25,41,25,194,False,False
Kricketune,['bug'],77,85,51,55,51,65,384,False,False
Shinx,['electric'],45,65,34,40,34,45,263,False,False
Luxio,['electric'],60,85,49,60,49,60,363,False,False
Luxray,['electric'],80,120,79,95,79,70,523,False,False
Budew,"['grass', 'poison']",40,30,35,50,70,55,280,False,False
Roserade,"['grass', 'poison']",60,70,65,125,105,90,515,False,False
Cranidos,['rock'],67,125,40,30,30,58,350,False,False
Rampardos,['rock'],97,165,60,65,50,58,495,False,False
Shieldon,"['rock', 'steel']",30,42,118,42,88,30,350,False,False
Bastiodon,"['rock', 'steel']",60,52,168,47,138,30,495,False,False
Burmy,['bug'],40,29,45,29,45,36,224,False,False
Wormadam-plant,"['bug', 'grass']",60,59,85,79,105,36,424,False,False
Mothim,"['bug', 'flying']",70,94,50,94,50,66,424,False,False
Combee,"['bug', 'flying']",30,30,42,30,42,70,244,False,False
Vespiquen,"['bug', 'flying']",70,80,102,80,102,40,474,False,False
Pachirisu,['electric'],60,45,70,45,90,95,405,False,False
Buizel,['water'],55,65,35,60,30,85,330,False,False
Floatzel,['water'],85,105,55,85,50,115,495,False,False
Cherubi,['grass'],45,35,45,62,53,35,275,False,False
Cherrim,['grass'],70,60,70,87,78,85,450,False,False
Shellos,['water'],76,48,48,57,62,34,325,False,False
Gastrodon,"['water', 'ground']",111,83,68,92,82,39,475,False,False
Ambipom,['normal'],75,100,66,60,66,115,482,False,False
Drifloon,"['ghost', 'flying']",90,50,34,60,44,70,348,False,False
Drifblim,"['ghost', 'flying']",150,80,44,90,54,80,498,False,False
Buneary,['normal'],55,66,44,44,56,85,350,False,False
Lopunny,['normal'],65,76,84,54,96,105,480,False,False
Mismagius,['ghost'],60,60,60,105,105,105,495,False,False
Honchkrow,"['dark', 'flying']",100,125,52,105,52,71,505,False,False
Glameow,['normal'],49,55,42,42,37,85,310,False,False
Purugly,['normal'],71,82,64,64,59,112,452,False,False
Chingling,['psychic'],45,30,50,65,50,45,285,False,False
Stunky,"['poison', 'dark']",63,63,47,41,41,74,329,False,False
Skuntank,"['poison', 'dark']",103,93,67,71,61,84,479,False,False
Bronzor,"['steel', 'psychic']",57,24,86,24,86,23,300,False,False
Bronzong,"['steel', 'psychic']",67,89,116,79,116,33,500,False,False
Bonsly,['rock'],50,80,95,10,45,10,290,False,False
Mime-jr,"['psychic', 'fairy']",20,25,45,70,90,60,310,False,False
Happiny,['normal'],100,5,5,15,65,30,220,False,False
Chatot,"['normal', 'flying']",76,65,45,92,42,91,411,False,False
Spiritomb,"['ghost', 'dark']",50,92,108,92,108,35,485,False,False
Gible,"['dragon', 'ground']",58,70,45,40,45,42,300,False,False
Gabite,"['dragon', 'ground']",68,90,65,50,55,82,410,False,False
Garchomp,"['dragon', 'ground']",108,130,95,80,85,102,600,False,False
Munchlax,['normal'],135,85,40,40,85,5,390,False,False
Riolu,['fighting'],40,70,40,35,40,60,285,False,False
Lucario,"['fighting', 'steel']",70,110,70,115,70,90,525,False,False
Hippopotas,['ground'],68,72,78,38,42,32,330,False,False
Hippowdon,['ground'],108,112,118,68,72,47,525,False,False
Skorupi,"['poison', 'bug']",40,50,90,30,55,65,330,False,False
Drapion,"['poison', 'dark']",70,90,110,60,75,95,500,False,False
Croagunk,"['poison', 'fighting']",48,61,40,61,40,50,300,False,False
Toxicroak,"['poison', 'fighting']",83,106,65,86,65,85,490,False,False
Carnivine,['grass'],74,100,72,90,72,46,454,False,False
Finneon,['water'],49,49,56,49,61,66,330,False,False
Lumineon,['water'],69,69,76,69,86,91,460,False,False
Mantyke,"['water', 'flying']",45,20,50,60,120,50,345,False,False
Snover,"['grass', 'ice']",60,62,50,62,60,40,334,False,False
Abomasnow,"['grass', 'ice']",90,92,75,92,85,60,494,False,False
